Statement,Verbs
kłamstwo ma krótkie nogi,"0, 3"
"kochajmy się jak bracia, liczmy się jak Żydzi","2, 3, 7, 8"
"kochajmy się jak bracia, rachujmy się jak Żydzi","2, 3, 7, 8"
"kogo akademia, dwór, obóz w rozum nie wypoleruje, tego żona rozumu, dowcipu douczyć powinna","0, 1, 3, 5, 7, 11, 12, 13, 15"
"komu Bóg rozumu nie da, kowal mu go nie ukuje","0, 1, 2, 6, 8"
"komu chleb zaszkodzi, a komu kij pomoże","0, 1, 5, 6"
"komu chleb zaszkodzi, temu kij pomoże","0, 1, 4, 5"
"komu praca kłopotem, oj! oj! będzie wołał potem","0, 1, 2, 10"
"komu w drogę, temu czas","0, 2, 4, 5"
koń ma cztery nogi i też się potknie,"0, 3"
"konia kują, żaba nogę podstawia","0, 3, 4"
"kot kotkę okaleczył, kot kotkę będzie leczył","0, 1, 4, 5"
"kot się myje, będą goście","0, 5"
"kowal zawinił, a Cygana powiesili","0, 4"
kradzione nie tuczy,2
król jest nagi,"0, 2"
króla Popiela myszy zjadły,"0, 1, 2"
kropla drąży skałę,"0, 2"
"krowa, która dużo ryczy, mało mleka daje","0, 7"
kruk krukowi oka nie wykole,"0, 1, 2"
krzywa praca nie popłaca,"0, 1"
ksiądz dwa razy kazania nie mówi,"0, 2, 3"
"kto Bogu służy, temu szczęście płuży","0, 1, 4, 5"
"kto chce nieba, cierpieć trzeba, a kto chce chleba, pracować trzeba","0, 2, 8, 10"
"kto chce żyć z swojej pracy, dolegać nie trzeba","0, 2, 5"
"kto chleb nosi, tego też chleb nosi","0, 1, 4, 6"
"kto chleba nie chce, nie godzien kołacza","0, 1, 7"
"kto chlebem gardzi, to nim Pan Bóg bardziej","0, 1, 4, 6, 7"
"kto daje i odbiera, ten się w piekle poniewiera","0, 8"
"kto dał zęby, da i chleb","0, 2, 6"
"kto folguje rózdze, nienawidzi syna swego, lecz kto go miłuje, ustawnie ćwiczy","0, 2, 5, 8, 9, 10"
"kto gra karo, przegra zaro","0, 1, 2, 4"
"kto kogo łaje, niech sam przykład daje","0, 1, 2, 5, 6"
"kto ku pracy ręce skłoni, nie uniży w gmachach skroni","0, 1, 2, 3, 9, 10"
"kto kupuje, czego mu nie trzeba, nie ma potem za co kupić chleba","0, 3, 10, 12, 14"
"kto latem pracuje, zimą głodu nie czuje","0, 1, 4, 5, 7"
"kto ma ręce do pracy, ten się naje kołaczy","0, 2, 3, 4, 8, 9"
"kto ma szczęście, temu i wół cielę urodzi","0, 2, 4, 6, 7"
"kto małego nie chce, to i dużego nie ogląda","0, 1, 5"
"kto mieczem wojuje, (ten) od miecza ginie","0, 1, 7, 8, 9"
"kto nie chce pracy znieść, ten nie ma co jeść","0, 3, 9"
"kto nie ma córek, ten nie ma dzieci","0, 3, 8"
"kto nie ma szczęścia w kartach, ten ma szczęście w miłości","0, 3, 5, 9, 11"
"kto nie ma w głowie, ten ma w nogach","0, 4, 9"
"kto nie ściąga atutów, ten chodzi bez butów","0, 2, 3, 7, 8"
"kto nie słucha brata, słuchać będzie bata","0, 3, 7"
"kto nie słucha ojca, matki, będą bić go własne dziatki","0, 3, 5, 8, 9, 10, 11"
"kto nie słucha ojca, matki, niech słucha psiej skóry","0, 3, 5, 10"
"kto nie umie kraść i oszukiwać, nie ma się po co w Warszawie znajdywać","0, 2, 11, 13"
"kto pierwej do młyna przyniesie, temu pierwej zmielą","0, 2, 3, 6"
"kto pierwszy, ten lepszy","0, 1"
"kto pod kim dołki kopie, sam w nie wpada","0, 2, 3, 4, 6"
"kto pod kim dołki kopie, ten sam w nie wpada","0, 2, 3, 4, 7"
"kto późno przychodzi, sam sobie szkodzi","0, 4, 5"
"kto przyjdzie między wrony, musi krakać jako ony","0, 3, 7"
"kto pyta, nie błądzi","0, 1"
"kto rano wstaje, temu Pan Bóg daje","0, 1, 4, 5, 6"
"kto się do pracy leni, niewart jeść pieczeni","0, 2, 3, 4, 8"
"kto się lubi, ten się czubi","0, 2"
"kto się na gorącym sparzył, ten na zimne dmucha","0, 8"
"kto się nie leni, robi złoto z kamieni","0, 3, 6, 8"
"kto się w maju urodzi, dobrze mu się powodzi","0, 3, 9"
"kto się wstydzi pracy, niewart chleba i kołaczy","0, 3, 6, 8"
"kto sieje jęczmień na Urbana, będzie pił piwo ze dzbana","0, 1, 2, 4, 7, 8, 10"
"kto sieje wiatr, ten zbiera burzę","0, 1, 2, 6"
"kto szuka, ten znajdzie","0, 4"
"kto w lipcu patrzy chłodu, nacierpi się w zimie głodu","0, 2, 3, 4, 9, 10"
"kto wiatr sieje, zbiera burzę","0, 1, 2, 5"
"kto z Bogiem zacznie, uczyni bacznie","0, 2"
"kto z Bogiem, Bóg z nim","0, 2, 4"
"kto z chłopem pije, ten też z nim pod płotem leży","0, 2, 10, 11"
"kto z kim przestaje, takim się staje","0, 2, 7"
"kto z prace rąk swych żyje, wnet taki utyje","0, 2, 3, 8"
"kto z przyrodzenia głupi, i w Paryżu sobie rozumu nie kupi","0, 2, 3, 7, 8, 9, 11"
"kto ze mną jeść nie chce chleba, ja z nim nie będę kołacza","0, 6, 13"
"kuć żelazo, póki gorące","1, 4"
kurwa kurwie łba nie urwie,"0, 1, 2, 4"
"kwiat lipcowy, napój zdrowy","0, 3"
"kwiecień plecień, bo przeplata trochę zimy, trochę lata","0, 1, 5, 6, 8, 9"
"kwiecień plecień, bo przeplata: trochę zimy, trochę lata","0, 1, 6, 7, 9, 10"
"kwiecień, co deszczem rosi, wiele owoców przynosi","0, 2, 3, 7"
łaska pańska na pstrym koniu jeździ,"0, 4"
"lekko przyszło, lekko poszło",
"lepiej dzieciom dać, niż od dzieci brać","1, 4, 5, 6, 7"
lepiej późno niż wcale,2
lepiej w nocy na wsi niż w dzień w Warszawie,"2, 4, 5, 7, 9"
"lepiej z mądrym zgubić, niż z głupim znaleźć","5, 7"
lepiej zapobiegać niż leczyć,2
lepsze jest wrogiem dobrego,"0, 2, 3"
lepszy dzięcioł w ręku niż orzeł na sęku,"1, 3, 4, 5, 7"
lepszy rydz niż nic,"1, 2, 3"
"lepszy w domu groch, kapusta niż na wojnie kura tłusta","2, 3, 5, 6, 8, 9"
lepszy wróbel w garści niż gołąb na dachu,"1, 3, 4, 5, 7"
lepszy wróbel w ręku niż cietrzew na sęku,"1, 3, 4, 5, 7"
lepszy wróbel w ręku niż sokół na sęku,"1, 3, 4, 5, 7"
licho nie śpi,0
luty w lód okuty,"0, 2"
"luty, napije się wół pluty","0, 4, 5"
mądrej głowie dość dwie słowie,"1, 4"
mądry Polak po szkodzie,"1, 3"
"mądry przyjmie radę, głupi nią wzgardzi","2, 4"
mądrzejsze jajko od kury,"1, 2, 3"
marność nad marnościami i wszystko marność,"0, 2, 4, 5"
"mąż doradza, a przy żonie władza","0, 5, 6"
mędrsze jajca niż kokosz,"1, 2, 3"
mędrsze jaje niż kura,"1, 2, 3"
"miękko na Andrzeja, oj! niedobra nadzieja","2, 7"
"miękko na Jędrzeja, oj! niedobra nadzieja","2, 7"
"miesiąc styczeń, czas do życzeń: a więc życzym pomyślności, Boga, chleba, dobrych gości","0, 1, 3, 4, 5, 10, 12, 14, 16, 17"
"miła praca, lubo trudna, póki nie daremna","0, 1"
miłość jest ślepa,"0, 2"
miłość miłość rodzi,"0, 1"
"młodość leniwa, starość płaczliwa","0, 3"
"młody może umrzeć, a stary musi","0, 5"
mnich mnichowi kaptura nie oberwie,"0, 1, 2"
"mnich niemowny, kot niełowny źle się miewają","0, 3"
"modli się pod figurą, a diabła ma za skórą","3, 6, 9"
moja chata z kraja,"0, 1, 3"
"mokry czerwiec, chłodny maj – wszystkim gburom prawy raj","1, 4, 6, 7, 8, 9"
"mowa jest srebrem, a milczenie złotem","0, 2, 5, 6"
"myszy dokazują, gdy kota nie czują","0, 4, 6"
"myszy tańcują, gdy kota nie czują","0, 4, 6"
"na Adama pięknie, zima prędko pęknie","1, 2, 4"
na bezrybiu i rak ryba,"1, 3, 4"
na dzień świętej Doroty ma być śniega nad płoty,"1, 2, 3, 5, 6, 8"
na gnój i różę słońce jednako świeci,"1, 3, 4"
"na Katarzynę gęś po wodzie, Boże Narodzenie po lodzie","1, 2, 4, 6, 7, 9"
na Katarzynę schowaj się pod pierzynę,"1, 5"
"na kogo Bóg, na tego i ludzie","1, 2, 5, 7"
na Nowy Rok przybywa dnia na barani skok,"1, 2, 4, 6, 7"
na stycznie i lute trzeba mieć konie kute,"1, 3, 6"
na świętą Agatę wysuszysz na słońcu szmatę,"1, 2, 5, 6"
na świętą Agnieszkę wychodzi woda na ścieżkę,"1, 2, 4, 6"
"na świętą Annę mrowiska, szukaj w zimie ogniska","1, 2, 3, 7, 8"
na świętą Barbarę dobądź ze skrzyni czamarę,"1, 2, 5, 6"
na świętą Barbarę wyciągnij z kąta czamarę,"1, 2, 5, 6"
na świętą Katarzynę szykuj ciepłą pierzynę,"1, 2, 5"
na świętą Małgorzatę kopa zawsze w polu stanie,"1, 2, 3, 6, 7"
na świętego Andrzeja błyska dziewkom nadzieja,"1, 2, 4, 5"
na świętego Andrzeja błyska pannom nadzieja,"1, 2, 4, 5"
na świętego Andrzeja dziewkom z wróżby nadzieja,"1, 2, 3, 5, 6"
na świętego Andrzeja trza kożucha dobrodzieja,"1, 2, 4, 5"
na świętego Franciszka chłop w polu nic nie zyska,"1, 2, 3, 5, 6"
na świętego Franciszka nieraz dobrze grzmi i łyska,"1, 2, 7"
na świętego Franciszka odlatuje pliszka,"1, 2, 4"
na świętego Franciszka przylatuje pliszka,"1, 2, 4"
na świętego Franciszka szuka ziarnek w polu myszka,"1, 2, 4, 6, 7"
na świętego Franciszka zielenią się łany i ze swego zimowiska wracają bociany,"1, 2, 3, 5, 9, 11"
na świętego Grzegorza idą rzeki do morza,"1, 2, 4, 5, 6"
na świętego Grzegorza idzie zima do morza,"1, 2, 3, 4, 5, 6"
na świętego Grzegorza zima idzie do morza,"1, 2, 3, 4, 5, 6"
na świętego Hieronima jest pogoda albo jej ni ma,"1, 2, 4, 5, 7"
na świętego Kazimierza zima do morza zmierza,"1, 2, 3, 4, 5"
na świętego Macieja prędzej wiosny nadzieja,"1, 2, 4, 5"
na świętego Macieja zniesie gęś pierwsze jejca,"1, 2, 4, 5"
"na świętego Mikołaja czeka dzieciąt cała zgraja: da posłusznym ciasteczko, złych przekropi rózeczką","1, 2, 4, 6, 10, 12, 14"
na świętego Pawła połowa zimy przepadła,"1, 2, 3, 4"
"na świętego Walentego bywa zwykle mróz niczego, lecz jak Walek się rozdeszcze, pewne mrozy wrócą jeszcze","1, 2, 5, 6, 8, 9, 10, 14, 15"
na świętego Wawrzyna śpieszą do młyna,"1, 2, 4, 5"
na świętej Agaty wychodzą muchy zza łaty,"1, 2, 4, 6"
na świętej Katarzyny szykuj babo pierzyny,"1, 2, 4, 5"
"na święty Dominik, kopy z pola mig, mig","1, 2, 4, 6, 7, 9"
na święty Jerzy nie trzeba koniom owsa,"1, 2, 5, 6"
"na święty Jerzy rosa, nie trzeba koniom owsa","1, 2, 3, 7, 8"
na święty Józef czasem śniegu wózek,"1, 2, 3, 4, 5"
"na święty Józef gdy płyną wody, na święty Wojciech rznij trawę dla trzody","1, 2, 5, 8, 9, 11, 13"
"na święty Józef pogoda, będzie w polu uroda","1, 2, 3, 7, 8"
"na święty Maciej lody wróżą długie chłody, a gdy płyną już strugą, to i zimy niedługo","1, 2, 3, 6, 12, 14, 16"
na święty Maciej skowronek zapiej,"1, 2, 3"
"na święty Tomasz dzień się z nocą sili, mniej nocy, więcej dnia będzie po chwili","1, 2, 3, 6, 10, 13, 16"
na święty Walenty uciekają z domu centy,"1, 2, 5, 6"
"na święty Wawrzyniec, wolny przez pola gościniec","1, 2, 4, 6, 7"
na święty Wojciech zniesie jajko bociek,"1, 2, 4, 5"
na Tomasza najdłuższa noc nasza,"1, 3"
"na Urbana chwile jakie, i lato takie","1, 2, 6"
"na Urbana chwile jakie, mówią, że i lato takie","1, 2, 9"
"na wiosnę ceber deszczu, łyżka błota; na jesieni łyżka deszczu, ceber błota","1, 2, 3, 5, 6, 9, 10, 11, 13, 14"
na złodzieju czapka gore,"1, 2"
nadzieja głupich matka,"0, 1, 2"
nadzieja matką głupich,"0, 1, 2"
nadzieja umiera ostatnia,0
najciemniej jest pod latarnią,3
najciężej pierwszy krok zrobić,"1, 2"
najczęściej brzuch tłusty dzierżawi łeb pusty,"1, 2, 4, 5"
najlepsza zasada – patrz w karty sąsiada,"1, 5, 6"
natura ciągnie wilka do lasu,"0, 2, 3, 4"
nauka bez cnoty jako miecz u szalonego: i sobie i ludziom szkodzi,"0, 1, 2, 3, 4, 6, 9, 11"
"nawarzyłeś piwa, to musisz je teraz wypić","2, 4, 8"
nawet szubienica milsza w towarzystwie,"1, 4"
"ni do ambony, ni do żony","0, 1, 2, 4, 5, 6"
"nic po chlebie, kiedy brak zębów","0, 2, 5, 6"
nie chwal dnia przed zachodem słońca,"2, 4, 5"
"nie czas żałować róż, gdy płoną lasy","1, 3, 6, 7"
"nie czyń drugiemu, co tobie niemiłe","2, 4"
nie dla psa kiełbasa,"2, 3"
"nie dla psa kiełbasa, nie dla kota sadło","2, 3, 7, 8"
"nie dla psa kiełbasa, nie dla kota spyrka","2, 3, 7, 8"
"nie dla psa kiełbasa, nie dla prosiąt miód","2, 3, 7, 8"
"nie dospać trzeba, kto chce dostać chleba","4, 7"
"nie graj bawole, czego nie ma na stole","2, 4, 8"
"nie graj matole, czego nie ma na stole","2, 4, 8"
"nie igraj, kotku, z niedźwiedziem","3, 6"
nie ma dymu bez ognia,"2, 3, 4"
nie ma róży bez kolców,"2, 3, 4"
"nie ma tego złego, co by na dobre nie wyszło","2, 3, 5, 8"
"nie masz na świecie małżonka, na którego by nie krakała żonka","3, 4, 11"
"nie miła jest taka praca, za którą nie bywa płaca","1, 3, 4, 10"
"nie mów hop, póki nie przeskoczysz","1, 2"
"nie mów nikomu, co się dzieje w domu","1, 2, 4, 6, 8"
"nie ociec, nie matka ceruszke wydaje: robota, ochota, piekne obyczaje","1, 4, 8, 10, 13"
nie od razu Kraków zbudowano,"1, 2, 3"
"nie pamiętał wół, jak cielęciem był","2, 4, 5"
nie porywaj się z motyką na słońce,"4, 6"
"nie przez litanie, psalmy i posty buduje się do nieba mosty","2, 4, 6, 9, 10, 11"
"nie rób drugiemu, co tobie niemiłe","2, 4"
nie samym chlebem człowiek żyje,"2, 3"
"nie strasz, nie strasz, bo się zesrasz",
nie święci garnki lepią,"1, 2"
nie szata zdobi człowieka,"1, 3"
"nie taki diabeł straszny, jak go malują","1, 2, 5, 6"
"nie ten bogaty, kto ma dukaty","2, 4, 6"
nie urodzi sikora słowika,"2, 3"
nie urodzi sowa sokoła,"2, 3"
"nie wisi syn za ojca, tylko sam za siebie","2, 4, 7"
"nie wójtowska córka, a gada do rzeczy","2, 5, 6, 7"
"nie wszystko złoto, co się świeci","1, 2, 4"
nie wywołuj wilka z lasu,"2, 4"
nie zawsze z dobrych rodziców synowie dobrzy,"3, 4, 5, 6"
"niech nie wie lewica, co czyni prawica","3, 5, 7"
niedaleko drzewa jabłko pada,"1, 2"
niedaleko jabłko od jabłoni pada,"1, 2, 3"
niedaleko jabłko pada od jabłoni,"1, 3, 4"
"niedaleko jabłko padnie jabłoni, tylko koło niéj","1, 3, 6"
niedaleko jabłoni jabłko upada,"1, 2"
niedaleko leci jabłko od jabłoni swojej,"2, 3, 4"
niedaleko odleci jabłko od jabłonie,"2, 3, 4"
niedaleko pada jabłko od jabłoni,"2, 3, 4"
nieobecni nie mają racji,"0, 2, 3"
nieszczęścia chodzą parami,"0, 2"
nigdy jabłko daleko od jabłoni nie odleci,"1, 3, 4"
nikt nie jest prorokiem we własnym kraju,"0, 3, 5, 6"
nikt nie może dwom panom służyć,"0, 4"
nikt nie może dwóm panom służyć,"0, 4"
noc Andrzeja świętego przyniesie nam narzeczonego,"0, 1, 2, 5"
"noc jasna na Michała, zima ostra i trwała, gdy noc słotna, zima do końca grudnia lekka i błotna","0, 3, 5, 8, 11, 14, 15, 16, 17"
"nosił wilk razy kilka, ponieśli i wilka","1, 2, 3, 7"
"Nowy Rok jaki, cały rok taki","0, 1, 2, 5, 6"
o świętej Dorocie pójdziesz po błocie,"1, 2, 5"
o świętej Katarzynie pomyśl o pierzynie,"1, 2, 5"
"obiecanki cacanki, a głupiemu radość","0, 1, 4, 5"
"Oblubieniec pogodny, rok będzie urodny","0, 3"
obżarty brzuch rozumu bystrego nie czyni,"1, 2"
od Grzegorza zima idzie do morza,"0, 1, 2, 3, 4, 5"
od piwa głowa się kiwa,"0, 1, 2"
od przybytku głowa nie boli,"0, 1, 2, 4"
od rzemyczka do koniczka,"0, 1, 2, 3"
od sada niedaleko jabłko pada,"0, 1, 3"
od swej jabłoni blisko jabłko pada,"0, 2, 4"
"od świętej Anki chłodne wieczory, poranki","0, 1, 2, 4, 6"
od świętej Anki zimne poranki,"0, 1, 2, 3, 4"
od świętej Anki zimne wieczory i ranki,"0, 1, 2, 3, 4, 6"
od świętej Anny nie doczeka południa deszcz poranny,"0, 1, 2, 5, 6"
od świętej Hanki zimne poranki,"0, 1, 2, 3, 4"
od świętej Hanki zimne wieczory i ranki,"0, 1, 2, 3, 4, 6"
od świętej Katarzyny nie prześladuj już zwierzyny,"0, 1, 2, 6"
od świętej Katarzyny nie wyganiaj już żywiny,"0, 1, 2, 6"
od świętej Katarzyny szukaj pierzyny,"0, 1, 2, 4"
"pamiętaj chemiku młody, wlewaj zawsze kwas do wody","1, 2, 6, 7, 8"
"Pan Bóg nierychliwy, ale pamiętliwy","0, 1"
"Pan Bóg nierychliwy, ale sprawiedliwy","0, 1, 5"
"Pankracy, Serwacy i Bonifacy – źli na ogrody chłopacy","0, 2, 4, 6, 8, 9"
"Pankracy, Serwacy, Bonifacy i Zośka to zimni święci","0, 2, 4, 6, 7, 9"
"Pankracy, Serwacy, Bonifacy, każdy swoim zimnem raczy","0, 2, 4, 7, 8"
pańskie oko konia tuczy,"0, 1, 2, 3"
"Panu Bogu lichtarz, a diabłowi świeczka","0, 1, 2, 6"
Panu Bogu świeczkę i diabłu ogarek,"0, 1, 2, 4, 5"
"Panu Bogu świeczkę, a diabłu ogarek","0, 1, 2, 5, 6"
papier jest cierpliwy,0
pieczone gołąbki nie lecą same do gąbki,"1, 3, 5, 6"
pieniądze nie śmierdzą,0
pierwsze koty za płoty,"0, 1, 3"
pijak pijaka znajdzie,"0, 1, 2"
"pijak podobny jest do zwierza: ni do roboty, ni do pacierza","0, 3, 4, 6, 7, 8, 10, 11, 12"
"płot trzy lata, kot trzy płoty, koń trzy koty","0, 2, 4, 6, 8, 10"
po dobrej strawie dobra i woda w stawie,"2, 3, 5, 7"
"po pracy miły odpoczynek: tym milszy, kto własny posiada kominek","1, 2, 3, 5, 8, 11"
po pracy nie wadzi się ucieszyć,1
po świętej Agacie wyschną na słońcu gacie,"1, 2, 5, 6"
po świętej Agacie wyschnie bielizna na płocie,"1, 2, 4, 6"
po świętej Agnieszce napije się wół na ścieżce,"1, 2, 5, 7"
po świętej Dorocie wieszaj chusty na płocie,"1, 2, 4, 6"
po świętej Dorocie wyschną chusty na płocie,"1, 2, 4, 6"
po świętej Katarzynie pomyśl o pierzynie,"1, 2, 5"
po świętej Łucji dzień trwa najkrócej,"1, 2, 3"
po świętym Pawle i Pietrze muchy tłuste jak wieprze,"1, 2, 4, 5, 6, 7, 8"
po świętym Tadeuszu trzeba chodzić w kapeluszu,"1, 2, 6"
"po tłuste cielę i do domu trafią, a chudego i na targu nie kupią","1, 2, 4, 5, 9, 12, 14"
po Urbanie lato nastanie,"1, 2"
"począwszy od Adama, każdy człowiek kłamie","1, 2, 5, 6"
podchorąży zawsze zdąży,0
"pogoda na świętego Błażeja, dobra wiosny nadzieja","0, 2, 3, 5, 6, 7"
"Polak, Węgier – dwa bratanki, i do szabli, i do szklanki","0, 2, 5, 8, 9, 12, 13"
"połknął czart babę, ale nie mógł jej strawić","1, 2"
"polski most, niemiecki post, włoskie nabożeństwo, to wszystko błazeństwo","0, 1, 3, 4, 6, 7, 9, 10, 11"
"poślij do Paryża osła głupiego, jeśli tu był osłem, nie będzie koń z niego","1, 2, 3, 4, 9, 13"
potrzeba jest matką wynalazków,"0, 2, 3"
"powiedziałeś A, powiedz B",
"powinna być temu płaca, za którą podjęta praca","1, 2, 3, 8"
powtarzanie jest matką wiedzy,"2, 3"
"praca dobrowolna większą ma wartość, jak przymuszona","0, 4, 6"
praca doskonali cnotę,"0, 2"
praca i statek dają dostatek,"0, 2, 4"
"praca każda ma zapłatę; rozkosz sromotę, utratę","0, 3, 5, 6, 8"
praca lat skraca,"0, 1"
praca największe bogactwo,"0, 2"
praca nikogo nie krzywdzi,"0, 1"
"praca od ubóstwa strzeże: kto nie sieje, nic nie zbierze","0, 1, 2, 5, 7, 9"
praca odkładana niewiele warta,"0, 3"
praca pozłaca,0
praca sama sobie płaci,"0, 2"
"praca tuczy, bieda uczy","0, 1, 3"
praca ustawiczna wszystko przemoże,"0, 2"
praca wzbogaca,0
praca z ochotą przerabia słomę w złoto,"0, 2, 4, 6"
"praca, gniew, picie najzdrowsze w miarę","0, 2, 4, 7"
prawda w oczy kole,"0, 2, 3"
prawdziwych przyjaciół poznaje się w biedzie,"1, 5"
"prawo jest po to, aby je omijać","0, 3"
"przed Pankracym nie ma lata, po Bonifacym mróz ulata","1, 4, 7, 8"
"przez pany do króla, a przez święte do Boga","2, 3, 7, 8, 9"
przyganiał kocioł garnkowi,"1, 2"
"przyganiał kocioł garnkowi, a sam smoli","1, 2, 5"
przyjaźń szczera nie umiera,0
przysłowia są mądrością narodów,"0, 2, 3"
przysłowia są mądrością narodu,"0, 2, 3"
przyszła kryska na matyska,"1, 3"
psie głosy nie idą w niebiosy,"0, 1, 5"
"psy szczekają, karawana idzie dalej","0, 3, 4"
ojczysta w dzieciach dziedziczy wada: blisko swej jabłoni jabłko pada,"2, 4, 8, 9"
okazja czyni złodzieja,"0, 2"
"oko za oko, ząb za ząb","0, 2, 4, 6"
oliwa sprawiedliwa zawsze na wierzch wypływa,"0, 4"
osioł konia nie spłodzi,"0, 1"
oszczędnością i pracą ludy się bogacą,"0, 2, 3"
oszczędnością i pracą ludzie się bogacą,"0, 2, 3"
"ożeń syna, kiedy zechcesz, a wydaj córkę, kiedy możesz","1, 8"
"raz na wozie, raz pod wozem","0, 2, 4, 6"
"robota nie zając, nie ucieknie","0, 2"
"Rok Nowy pogodny, zbiór będzie dorodny","0, 1, 4"
"różdżką Duch Święty dziateczek bić radzi, różdżka bynajmniej zdrowiu nie zawadzi","0, 1, 2, 3, 4, 7, 9"
ryba psuje się od głowy,"0, 1, 3, 4"
"ryby, choć dobre bywają, w trzeci dzień się przejadają","0, 3, 7, 8"
rzadka rzecz między braćmi zgoda,"1, 3, 4"
"rzadki dzień świętej Doroty bez mrozu, zawiei, słoty","1, 2, 3, 4, 5, 7, 9"
"rzadko ten jastrząb kuropatwę schwyci, który się za całym ugania stadem","2, 3, 11"
samotnemu świat pustynią,"1, 2"
ściany mają uszy,"0, 1, 2"
skąpy dwa razy traci,"0, 2"
"skleroza nie boli, ale nachodzić się trzeba","0, 2"
"skleroza nie choroba, tylko nogi bolą","0, 2, 5, 6"
"słabe w gosposi nadzieje, gdy śpi, jak kogut pieje","2, 3, 8, 9"
"słota w dzień Adama i Ewy, zabezpiecz od zimna cholewy","0, 2, 3, 5, 8, 9, 10"
słowa nic nie kosztują,"0, 1"
"słówko wyleci wróblem, a powróci wołem","0, 2, 6"
"słowo się rzekło, kobyłka u płota","0, 4"
"słowo się rzekło, kobyłka u płotu","0, 4, 6"
smakować jak psu zboże,"1, 2, 3"
śmiałym szczęście sprzyja,1
śmiech to zdrowie,"0, 1, 2"
sól świętej Agaty broni od ognia chaty,"0, 1, 2, 3, 4, 5, 6"
sól świętej Agaty od ognia strzeże chaty,"0, 1, 2, 3, 4, 6"
"sowa huczy, choć jej nikt nie uczy","0, 5"
śpiesz się powoli,
spyta cię luty: maszli buty?,"2, 5"
stara miłość nie rdzewieje,"0, 1"
"starszy brat mięso kraje, a młodszy obiera","0, 1, 2, 3"
strach ma wielkie oczy,"0, 3"
"strzeż mnie, Boże, od przyjaciół, bo z wrogami poradzę sobie sam","3, 5, 6, 10, 12, 13"
strzeżonego Pan Bóg strzeże,"1, 2"
"styczeń bywa łagodny, gdy październik śnieżny i chłodny","0, 5"
styczeń pogodny wróży rok płodny,"0, 2, 3"
święta Agnieszka wypuściła skowronka z mieszka,"0, 1, 3, 5"
święta Agnieszka wypuszcza skowronka z mieszka,"0, 1, 3, 5"
"święta Anno! uproś wnuka, niech ma każdy, czego szuka","0, 1, 4, 10"
"święta Barbara po lodzie, Boże Narodzenie po wodzie","0, 1, 3, 5, 6, 8"
"święta Barbara po wodzie, Boże Narodzenie po lodzie","0, 1, 3, 5, 6, 8"
święta Dorota suszy chusty u płota,"0, 1, 2, 3"
święta Dorota! wyratuj z błota,"0, 1, 5"
święta Hanna to już jesienna panna,"0, 1, 2, 5"
święta Jagna taje bagna,"0, 1, 3"
święta Katarzyna adwent rozpoczyna,"0, 1, 2"
święta Katarzyna adwent zaczyna,"0, 1, 2"
"święta Katarzyna adwent zaczyna, święty Jędrzej jeszcze mędrzej","0, 1, 2, 5, 6"
"święta Katarzyna adwent zawiązuje, sama hula, pije, a nam zakazuje","0, 1, 2, 6"
"święta Katarzyna adwent zawięzuje, a święty Andrzej poprawuje","0, 1, 2, 6, 7"
"święta Katarzyna klucz zgubiła, święty Jędrzej znalazł, zamknął skrzypki zaraz","0, 1, 2, 5, 6, 10, 11"
"święta Katarzyna po lodzie, Boże Narodzenie po wodzie","0, 1, 3, 5, 6, 8"
"święta Katarzyna po wodzie, Boże Narodzenie po lodzie","0, 1, 3, 5, 6, 8"
"święta Katarzyna pokazuje, jaką pogodę nam styczeń zgotuje","0, 1, 4, 5, 7"
święta Katarzyna śluby ucina,"0, 1, 2"
"święta Katarzyna śmiechem, święty Andrzej grzechem","0, 1, 2, 4, 5, 6"
"święta Katarzyna śmiechem, święty Jędrzej grzechem","0, 1, 2, 4, 5, 6"
"święta Katarzyna zawięzuje adwent łyczkiem, a święty Marcin rzemyczkiem","0, 1, 3, 4, 7, 8, 9"
święta Łucja dnia przyrzuca,"0, 1, 2"
"święta Łucja głosi, jaką pogodę styczeń przynosi","0, 1, 4, 5, 6"
święta Małgorzata zapowiada środek lata,"0, 1, 3, 4"
świętej Agaty uschną szmaty,"0, 1, 3"
świętej Agnieszki uschną pieluszki; świętej Agaty uschną i szmaty,"0, 1, 3, 5, 6, 9"
"święto Barbary po wodzie, Boże Narodzenie po lodzie","0, 1, 3, 5, 6, 8"
święto Łucji dzień króci,"0, 1, 2"
święto Łucy noc króci,"0, 2"
święty Ambroży zimy przysporzy,"0, 1, 2"
"święty Andrzej ci ukaże, co ci los przyniesie w darze","0, 1, 5, 7, 10"
"święty Andrzej grzechem, święta Katarzyna śmiechem","0, 1, 2, 4, 5, 6"
święty Andrzej wróży szczęście i szybkie zamęście,"0, 1, 2, 3, 6"
"święty Bartłomiej pogodny, jesień pogodna","0, 1, 4"
święty Błażej gardła zagrzej,"0, 1, 2"
święty Błażej po świecach łazi,"0, 1, 3"
święty Jędrzej adwent przytwierdzi,"0, 1, 2"
"święty Józef kiwnie brodą, idzie zimno na dół z wodą","0, 1, 3, 5, 6, 8, 10"
"święty Józef pogodny, będzie roczek urodny","0, 1, 5"
"święty Józek wiezie trawy wózek, ale czasem smuci, bo śniegiem przyrzuci","0, 1, 3, 4, 7, 11"
swoje brudy trzeba prać w domu,"0, 1, 5"
"syn mój, a rozum u niego swój","0, 1, 4"
